winrhtime   winrh
348.5625   -1.1911
348.5694   -0.8584
348.5764   -0.8406
348.5833   -0.8161
348.5903   -0.9062
348.5972   -0.8038
348.6042   -0.7040
348.6111   -0.6698
348.6181   -0.5708
348.6250   -0.4586
348.6319   -0.3453
348.6389   -0.2247
348.6458   -0.1041
348.6528   0.0010
348.6597   0.1074
348.6667   0.2462
348.6736   0.3609
348.6806   0.4682
348.6875   0.5470
348.6944   0.6545
348.7014   0.7575
348.7083   0.8634
348.7153   0.9382
348.7222   1.0421
348.7292   1.1357
348.7361   0.9348
348.7431   1.0119
348.7500   1.0877
348.7569   1.1302
348.7639   1.0737
348.7708   1.1192
348.7778   1.2583
348.7847   1.3522
348.7917   1.3807
348.7986   1.3597
348.8056   1.4479
348.8125   1.3985
348.8194   1.2184
348.8264   1.1318
348.8333   1.1676
