outdectrhtime   outdectrh
344.3658   -1.7076
344.3662   -1.4275
344.3662   -1.4475
344.3662   -1.6950
344.3662   -1.5250
344.3742   -1.2875
344.3742   -1.2875
344.3783   -1.7615
344.3783   -1.8115
344.3783   -1.7815
344.3783   -1.9076
344.3783   -1.9476
344.3829   -1.2415
344.3829   -1.2415
344.3908   -1.9415
344.3908   -1.8615
344.3908   -1.8715
344.3908   -1.9815
344.3908   -2.0076
344.3908   -2.0676
344.3908   -2.0076
344.4021   -1.9115
344.4021   -1.9315
344.4021   -2.0576
344.4021   -2.0476
344.4146   -1.9715
344.4146   -1.9815
344.4146   -1.9515
344.4146   -1.9315
344.4146   -1.9776
344.4146   -2.0576
344.4146   -2.1176
344.4200   -0.5776
344.4287   -1.7215
344.4287   -1.7215
344.4287   -1.6815
344.4287   -1.8676
344.4287   -1.8176
344.4346   -0.4415
344.4346   -0.3515
344.4346   -0.4876
344.4346   -0.5676
344.4425   -0.0075
344.4425   -0.1475
344.4425   -0.0475
344.4425   0.2825
344.4425   -0.2950
344.4425   -0.2250
344.4425   -0.3050
344.4425   -0.4250
344.4563   -0.1775
344.4563   0.2725
344.4563   0.1750
344.4571   -1.1715
344.4571   -1.1615
344.4571   -1.1215
344.4571   -1.3076
344.4571   -1.3076
344.4571   -1.4076
344.4675   0.7824
344.4675   0.6624
344.4721   -0.8715
344.4721   -0.9415
344.4721   -1.0176
344.4721   -1.0176
344.4721   -0.9276
344.4975   -0.6015
344.4975   -0.5715
344.4975   -0.5115
344.4975   -0.5276
344.4975   -0.9376
344.5150   1.3185
344.5150   1.8485
344.5150   1.7124
344.5150   1.1824
344.5213   1.3785
344.5213   1.3285
344.5213   1.3685
344.5213   1.2985
344.5213   1.3124
344.5213   1.2524
344.5213   1.0824
344.5213   1.6124
344.5387   1.7185
344.5387   1.7585
344.5387   1.5724
344.5688   1.6325
344.5688   1.5025
344.5688   1.2550
344.5688   1.4150
344.6017   2.3485
344.6017   2.3585
344.6017   2.3585
344.6017   2.3085
344.6017   2.0985
344.6017   2.3785
344.6017   2.2024
344.6017   2.2124
344.6017   2.3824
344.6017   2.0224
344.6017   2.4224
344.6017   2.2224
344.6067   2.1025
344.6067   0.7525
344.6067   0.5050
344.6067   1.8450
344.6283   1.2225
344.6342   2.0185
344.6558   0.8985
344.6558   1.5224
344.6708   2.4785
344.6708   2.4085
344.6708   2.1924
344.6708   2.1924
344.6708   2.1324
344.6825   1.5225
344.6825   1.5225
344.6825   1.2750
344.6825   1.4350
344.6913   2.3485
344.6913   2.4285
344.6913   2.3424
344.6913   2.2024
344.6913   2.1424
344.6950   2.2285
344.6950   1.8385
344.6950   1.7024
344.6950   2.0924
344.7021   0.5985
344.7021   0.6085
344.7021   0.4724
344.7021   0.6124
344.7121   0.4725
344.7121   0.3225
344.7121   0.3425
344.7121   -0.0950
344.7175   0.3385
344.7175   0.3385
344.7233   -0.1415
344.7233   -0.1415
344.7233   -0.2876
344.7233   -0.4276
344.7275   1.4085
344.7275   1.5085
344.7275   1.3985
344.7275   1.4785
344.7275   1.3524
344.7275   1.2724
344.7275   1.2624
344.7396   1.1385
344.7396   1.3285
344.7396   1.0785
344.7396   1.2685
344.7396   1.0424
344.7538   -0.5115
344.7538   -0.5615
344.7538   -0.5576
344.7538   -0.4876
344.7796   -0.7275
344.7796   -0.3775
344.7796   -0.3775
344.7796   -0.4175
344.7796   -0.7075
344.7796   -0.9950
344.7796   -0.6350
344.7796   -0.6050
344.7796   -0.5550
